Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At, Annual Revenue ,Number of Retail Locations,Apollo Account Id,SIC Codes,Short Description,Founded Year,Logo Url,Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score
GOI International UAE,GOI International UAE,Cold,,10,graphic design,abdullahshami97@gmail.com,,http://www.linkedin.com/company/goi-international-fze-uae,,,مجمع سي,Dubai,Dubai,United Arab Emirates,,"مجمع سي, Dubai, Dubai, United Arab Emirates","oilfield drilling equipment, spares, fire detection, fire suppression, power quality harmonics, lubricants automotive, marine, industrial, process instruments temperature, pressure, flow, level, valves, interior decoration, graphic design",'+971 4 420 7528,,"Cloudflare DNS, CloudFlare Hosting, Google Tag Manager, Bootstrap Framework, Google Font API, Mobile Friendly, SAP, Micro, AI, Python",,,,,1400000.00,,66dbffc01be2b000011d3dad,,"Fire Detection & Suppression
Oilfield Equipment,Machinery,Spares(Drilling,Production,Refinery,Petrochemical)
Power Quality harmonics
Process Instrumentation & Valves:, Oilfield,Marine & Industrial
Lubricants:Industrial,Drilling,Automotive
Interior Decoration & Graphic Design",2009,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/669d1adf964f490001c19e69/picture,,,,
SUNDANCE EVENTS,SUNDANCE EVENTS,Cold,,14,events services,abdullahshami97@gmail.com,http://www.sundancehq.com,http://www.linkedin.com/company/sundance-events,https://facebook.com/SundanceCORP,https://twitter.com/SundanceCORPDXB,2 King Salman Bin Abdulaziz Al Saud Street,Dubai,Dubai,United Arab Emirates,,"2 King Salman Bin Abdulaziz Al Saud Street, Dubai, Dubai, United Arab Emirates","corporate events, incentive trips & destination management, activations & sampling campaigns, sound & light setups, stand design & build, experiential interiors",'+971 4 457 0336,,"Amazon AWS, Mobile Friendly, Google AdSense",,,,,2236000.00,,66dbffc01be2b000011d3db3,,"SUNDANCE events is a fully integrated event management and live communications agency. Built on six business platforms, Sundance covers a wide spectrum of services which makes this agency a first choice for many clients.

Corporate events, Direct consumer communication programs (LIVE COMMS/BRAND ACTIVATIONS), Incentives and Destination management, Sound and light rentals, Furniture Rentals and Stand Design are the platforms on which we operate.

We have delivered projects across the globe, we have serviced high profile VIPS and handled staff incentives with over 500 delegates. Organized an endless number of corporate events, delivered sound, light and video setups for many indoor and outdoor events, ran sampling and other activation campaigns regionally. Sundance has also staged concerts, viewing tents for international sporting events and many public, entertainment events.

A multi-national staff brings the culture, creativity and experience of the world to the table.

Our integrated model, multi-national demographics and detailed approach makes us more capable and more cost effective than our competition, we believe in partnerships and longevity of relationships. Most of our clients have been with us for many years and it is this trust that we value the most.

Please see our website for more information about us: www.sundancehq.com

It would be our pleasure to hear from you.",2005,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63a454110352140001d50df6/picture,,,,
Techsource LLC,Techsource,Cold,,13,information technology & services,abdullahshami97@gmail.com,http://www.techsource.ae,http://www.linkedin.com/company/techsource-llc,,,شارع الإمارات,Dubai,Dubai,United Arab Emirates,,"شارع الإمارات, Dubai, Dubai, United Arab Emirates",,'+971 4 812 2022,,"Mimecast, Outlook, Microsoft Office 365, Microsoft Azure Hosting, Apache, Mobile Friendly, Bootstrap Framework, Google Font API, SAP, Android, Remote, SharePoint, AI, Oracle Fusion",,,,,4000000.00,,66dbffc01be2b000011d3dba,,"Offering Hosted Services (IaaS, PaaS and SaaS) and Managed Services.
Developing Enterprise Architecture for different industry verticals like Pharma, Financial Services (PE & VC), Real Estate, Construction, Utilities, Food & Beverage and offering Implementation, customization, training services.",,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66d25c56125e96000143dd21/picture,,,,
Cactix,Cactix,Cold,,20,marketing & advertising,abdullahshami97@gmail.com,http://www.cactix.com,http://www.linkedin.com/company/cactix,http://www.facebook.com/cactix,http://www.twitter.com/cactixonline,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates","social media, web development, content, inbound marketing, media, consumer internet, internet, information technology, social media management, social media consulting & training, social media advertising, web design, content marketing, content development, content localization, translation, email marketing, online marketing, performance marketing",'+971 4 871 6718,Cactix is a B2B Marketing Agency in Dubai. HubSpot Gold Partner & Google Partner. Core strength in B2B content and performance marketing for technical industries.,"Cloudflare DNS, Gmail, Google Apps, Amazon AWS, Hubspot, Zoho Books, GitLab, Google AdSense, Inspectlet, Gravity Forms, Google Tag Manager, Paypal, WordPress.org, Mobile Friendly, Google Analytics, Gravity, Linkedin Marketing Solutions, Google Font API",,,,,2000000.00,,66dbffc01be2b000011d3dbd,7374,"Cactix is a B2B marketing agency specialized in technical, engineering-driven industries. We help B2B businesses capture their target market, engage their audiences and drive business growth. Our core capabilities include marketing, content, web, PR and communications.",2011,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66d70f0bd185f9000175f682/picture,,,,
Kassab Trans Media,Kassab Trans Media,Cold,,62,marketing & advertising,abdullahshami97@gmail.com,http://www.kassabmedia.com,http://www.linkedin.com/company/kassab-media-fz---llc,https://facebook.com/pages/Kassab-Media/129036970446797,https://twitter.com/kassabmedia,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates","outdoor advertising, out of home, advertising, dubai metro, queen alia international airport, large formats, roadside, digital advertising, print, radio, dubai advertising, point of purchase advertising, outdoor media, megacoms, mupis, taxi advertising, unipoles, magazine advertising, websites, media production, large format printing",'+971 4 450 6700,,"Gmail, Google Apps, GoDaddy Hosting, Apache",,,,,2523000.00,,66dbffc01be2b000011d3dbf,7311,"Kassab Trans Media is a leading media services and solutions provider with headquarters in Dubai, United Arab Emirates.

Kassab Trans Media is the exclusive advertising concessionaire of Dubai Metro network (75km indoor and outdoor assets).

Kassab Trans Media is also the exclusive advertising concessionaire of Queen Alia International Airport (QAIA) in Amman, Jordan - the principal airport into the Levant region.

Kassab Trans Media's Out-of-Home (OOH) inventory encompasses and includes: Dubai Metro, Queen Alia International Airport, Large Formats (Hoardings), PoP, Roadside (Digital and Static Unipoles, Megacoms, Mupis, Taxis), Print and Digital.",,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6697158c369d05000145975e/picture,,,,
Marine BizTV,Marine BizTV,Cold,,44,media production,abdullahshami97@gmail.com,http://www.marinebiztv.com,http://www.linkedin.com/company/marinebiz-tv,,,,Sharjah,Sharjah,United Arab Emirates,,"Sharjah, Sharjah, United Arab Emirates","marine news, media association, event association, maritime, broadcasting, film production, online media, global channel, channel",,"Marine BizTV, the 24hr free to air global maritime channel was presented to the world on May 7, 2007, a venture to redefine the maritime world","Gmail, Google Apps, Mobile Friendly, Google Analytics, Vimeo, Bootstrap Framework, Google AdSense, JW Player, Apache, Google Font API, reCAPTCHA, YouTube, StatCounter, Remote, , Basis",,,,,2400000.00,,66dbffc01be2b000011d3dc2,,"Marine BizTV, the 24hr free to air global maritime channel was presented to the world on May 7, 2007, a venture to redefine the maritime world. Marine BizTV is initiated by Aries Marine, the largest ship design and consultancy firm in the Middle East. The channel is based in Dubai and serves as a unique platform for international maritime activities. Being sector specific for the marine and maritime world, the channel aims at being a single point of contact for all maritime activities and information worldwide, transmitting and helping in creating a safer maritime world. Marine BizTV cater the best medium to infotainment thereby tracking paths for business development and promotion that bestow a new vision into the entire maritime trade. It is the first among the telecast media to get an ISO 9001 certification. Web TV, the online arm of Marine BizTV has already proved its significance with the vision of bringing the whole maritime world to the desktop. The Web TV at www.marinebiztv.com provides full - fledged support to the satellite channel and ensures that the ideas and visions of the channel reach the whole world, in just a click away.",2006,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6558b26be24fea0001195726/picture,,,,
PeopleFirst HR Consultancy,PeopleFirst HR Consultancy,Cold,,18,human resources,abdullahshami97@gmail.com,http://www.peoplefirstme.com,http://www.linkedin.com/company/peoplefirst,https://www.facebook.com/pages/PeopleFirst-HR-Consultancy/970494339657577,https://twitter.com/PeopleFirstHRME,شارع السيداف 1,Dubai,Dubai,United Arab Emirates,,"شارع السيداف 1, Dubai, Dubai, United Arab Emirates","developing an hr strategy, policies, change management, organisation design, restructuring, assessment centres, organisation capability, nationalisation solutions, job evaluation, grading, compensation, benefit programmes, training, development solutions",'+971 4 447 5210,"PeopleFirst is a Strategic Human Resource consulting practice. We work in partnership with our clients to evolve and implement HR strategy, policy and practices enabling our clients to realize the power of their people and achieve greater business results.","Outlook, ASP.NET, Google Font API, Google Maps, Mobile Friendly, Google Tag Manager, Google Analytics, Microsoft-IIS, WordPress.org, MailChimp, AI",,,,,1400000.00,,66dbffc01be2b000011d3dc3,,"PeopleFirst is a Human Resources consulting practice that works in partnership with its clients to develop and implement strategic and tactical HR solutions across all aspects of Human Resources Management and Human Resources Development

www.peoplefirstme.com",2008,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66d8b9779c475400016ba0cc/picture,,,,
Chicago Training and Consultancy LLC,Chicago Training and Consultancy,Cold,,47,government administration,abdullahshami97@gmail.com,http://www.chicagotcs.com,http://www.linkedin.com/company/chicagotcs,https://facebook.com/chicagotcs,https://twitter.com/Chicagomti,,Abu Dhabi,Abu Dhabi,United Arab Emirates,22229,"Abu Dhabi, Abu Dhabi, United Arab Emirates, 22229","certification course, project management professional, certified facility manager, nebosh, online courses, training center, professional courses, consultancy services, student consulting, approved learning partners, accredited training center, iso 9001, iso 14001, iso 45001, iso, health & safety, environment safety, fire protection specialist course, six sigma green belt, occupational health & safety",,This domain is parked at DreamHost,"Apache, AI, Sigma, Remote",,,,,777000.00,,66dbffc01be2b000011d3dc7,,"Chicago Training and Consultancy is an independent company established to provide high quality training and consultancy services to individuals and organizations of all sizes within the private and public sector. 

Chicago Training and Consultancy is a:

* PMI®  Global Registered Education Provider
* AACEI® Approved Education Provider
* IMA® Authorized CMA Learning System Course Provider
* NCMA® Education Partner
* Authorized Training & Testing Center of BASEL Certification Institute

AFFILIATIONS

* Collaborative training provider of Continuing Education Department of University of Wisconsin-Platteville, USA

* Approved Education Provider of Franklin University, Ohio, USA

* Host Training Site for the University of Cincinnati NIOSH Education and Research Center


We offer the following Exam Preparation programs in Abu Dhabi, Dubai, Sharjah, and Doha:

* Project Management Professional (PMP®)

* Certified Cost Engineer/Consultant (CCE®/CCC®)

* Certified Management Accountant (CMA®)

* Certified Commercial Contracts Manager (CCCM®)

* Certified Professional Contracts Manager (CPCM®)

* Certified Manager of Quality/Organizational Excellence (CMQ/OE®)

* Certified Six Sigma Green Belt (CSSGB®)

* Global Professional in Human Resources (GPHR®)

* Senior Professional in Human Resources (SPHR®)

* Planning and Scheduling Professional (PSP®)

* Certified Facility Manager (CFM®)

* Leadership in Energy and Environmental Design (LEED®)

* PMI Risk Management Professional (PMI-RMP®)",2007,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66aace4fbb1dac0001d8c36a/picture,,,,
Multiline Design & Contracting L.L.C.,Multiline Design & Contracting L.L.C,Cold,,44,construction,abdullahshami97@gmail.com,http://www.multiline.ae,http://www.linkedin.com/company/multiline-interiors,https://facebook.com/multilineinteriors,https://twitter.com/mlineinteriors,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates","interior design consultancy, interior fitout contracting, project management, exhibition stand design, construction, graphic design, digital print media, interior designing, retail fit outs, f, b fitouts, joinery work, building maintenance, building contracting, mep, kiosk, office fitout, residential design",'+971 4 340 4287,,"Google Maps (Non Paid Users), WordPress.org, Google Font API, Google Maps, Mobile Friendly, Google Tag Manager, Render, Circle, Remote",,,,,3545000.00,,66dbffc01be2b000011d3dd3,,"Multiline is an Interior Design & Fit-Out company located in Dubai, United Arab Emirates.  Established in year 2000, the company is one of the well-reputed Interior Design companies with decades of experience in both local and international markets.

We specialize in design and construction of interior spaces such as corporate offices, commercial spaces, retail stores, hotels and residential properties.  The company also customizes kiosks & exhibition stands for promotional events.  In addition, Multiline also offers consultancy and project management services to clients with specific preferences.

Multiline's vision is to be on the leading edge of Interior Design and Creative industry in Dubai and in the UAE.  We continuously strive to improve our skills in order to be ahead of the game by harnessing our decades of experience & expertise.  

For quality that stands out, Multiline.",2000,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66c3fe82a7401600018699bf/picture,,,,
Vins Technical Solutions LLC,Vins Technical Solutions,Cold,,17,construction,abdullahshami97@gmail.com,http://www.vinstech.net,http://www.linkedin.com/company/vins-technical-solutions-llc,https://facebook.com/pages/Vins-Technical-Solutions/200144676682965,https://twitter.com/VinsTS,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates","draughtsman & eng design, subcontract, support mep, support civil, labor & staff accommodation solution, recruitment, expertise & manpower hire, vehicle tracking system, procurement of supplies, it solutions, services",'+971 4 220 8834,,"Outlook, Microsoft Office 365, Google Analytics, Mobile Friendly, Bootstrap Framework, Android, Basis, Remote",,,,,1688000.00,,66dbffc01be2b000011d3dd5,,""" To be the preferred partner by delivering complete support services""


Established in 2008 to combine all our activities (and different companies) in to one banner, Vins Technical Solutions is a multi-discipline company serving a wide range of industries. 

Thereafter, Vins Technical Solutions has expanded and delivered on the previously earned nationwide reputation for innovation and reliability.",2008,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66b85c53de7dc40001bda392/picture,,,,
