Company Name for Emails,# Employees,Industry,Company City,Keywords,Company Phone,Technologies, Annual Revenue ,Short Description,Founded Year,Company Size,Lead_Age,Revenue_Per_Employee
GOI International UAE,10,graphic design,Dubai,"oilfield drilling equipment, spares, fire detection, fire suppression, power quality harmonics, lubricants automotive, marine, industrial, process instruments temperature, pressure, flow, level, valves, interior decoration, graphic design",'+971 4 420 7528,"Cloudflare DNS, CloudFlare Hosting, Google Tag Manager, Bootstrap Framework, Google Font API, Mobile Friendly, SAP, Micro, AI, Python",1400000.0,"Fire Detection & Suppression
Oilfield Equipment,Machinery,Spares(Drilling,Production,Refinery,Petrochemical)
Power Quality harmonics
Process Instrumentation & Valves:, Oilfield,Marine & Industrial
Lubricants:Industrial,Drilling,Automotive
Interior Decoration & Graphic Design",2009.0,Small,15.0,140000.0
SUNDANCE EVENTS,14,events services,Dubai,"corporate events, incentive trips & destination management, activations & sampling campaigns, sound & light setups, stand design & build, experiential interiors",'+971 4 457 0336,"Amazon AWS, Mobile Friendly, Google AdSense",2236000.0,"SUNDANCE events is a fully integrated event management and live communications agency. Built on six business platforms, Sundance covers a wide spectrum of services which makes this agency a first choice for many clients.

Corporate events, Direct consumer communication programs (LIVE COMMS/BRAND ACTIVATIONS), Incentives and Destination management, Sound and light rentals, Furniture Rentals and Stand Design are the platforms on which we operate.

We have delivered projects across the globe, we have serviced high profile VIPS and handled staff incentives with over 500 delegates. Organized an endless number of corporate events, delivered sound, light and video setups for many indoor and outdoor events, ran sampling and other activation campaigns regionally. Sundance has also staged concerts, viewing tents for international sporting events and many public, entertainment events.

A multi-national staff brings the culture, creativity and experience of the world to the table.

Our integrated model, multi-national demographics and detailed approach makes us more capable and more cost effective than our competition, we believe in partnerships and longevity of relationships. Most of our clients have been with us for many years and it is this trust that we value the most.

Please see our website for more information about us: www.sundancehq.com

It would be our pleasure to hear from you.",2005.0,Small,19.0,159714.2857142857
Techsource,13,information technology & services,Dubai,,'+971 4 812 2022,"Mimecast, Outlook, Microsoft Office 365, Microsoft Azure Hosting, Apache, Mobile Friendly, Bootstrap Framework, Google Font API, SAP, Android, Remote, SharePoint, AI, Oracle Fusion",4000000.0,"Offering Hosted Services (IaaS, PaaS and SaaS) and Managed Services.
Developing Enterprise Architecture for different industry verticals like Pharma, Financial Services (PE & VC), Real Estate, Construction, Utilities, Food & Beverage and offering Implementation, customization, training services.",2013.0,Small,11.0,307692.3076923077
Cactix,20,marketing & advertising,Dubai,"social media, web development, content, inbound marketing, media, consumer internet, internet, information technology, social media management, social media consulting & training, social media advertising, web design, content marketing, content development, content localization, translation, email marketing, online marketing, performance marketing",'+971 4 871 6718,"Cloudflare DNS, Gmail, Google Apps, Amazon AWS, Hubspot, Zoho Books, GitLab, Google AdSense, Inspectlet, Gravity Forms, Google Tag Manager, Paypal, WordPress.org, Mobile Friendly, Google Analytics, Gravity, Linkedin Marketing Solutions, Google Font API",2000000.0,"Cactix is a B2B marketing agency specialized in technical, engineering-driven industries. We help B2B businesses capture their target market, engage their audiences and drive business growth. Our core capabilities include marketing, content, web, PR and communications.",2011.0,Small,13.0,100000.0
Kassab Trans Media,62,marketing & advertising,Dubai,"outdoor advertising, out of home, advertising, dubai metro, queen alia international airport, large formats, roadside, digital advertising, print, radio, dubai advertising, point of purchase advertising, outdoor media, megacoms, mupis, taxi advertising, unipoles, magazine advertising, websites, media production, large format printing",'+971 4 450 6700,"Gmail, Google Apps, GoDaddy Hosting, Apache",2523000.0,"Kassab Trans Media is a leading media services and solutions provider with headquarters in Dubai, United Arab Emirates.

Kassab Trans Media is the exclusive advertising concessionaire of Dubai Metro network (75km indoor and outdoor assets).

Kassab Trans Media is also the exclusive advertising concessionaire of Queen Alia International Airport (QAIA) in Amman, Jordan - the principal airport into the Levant region.

Kassab Trans Media's Out-of-Home (OOH) inventory encompasses and includes: Dubai Metro, Queen Alia International Airport, Large Formats (Hoardings), PoP, Roadside (Digital and Static Unipoles, Megacoms, Mupis, Taxis), Print and Digital.",2013.0,Medium,11.0,40693.54838709677
Marine BizTV,44,media production,Sharjah,"marine news, media association, event association, maritime, broadcasting, film production, online media, global channel, channel",,"Gmail, Google Apps, Mobile Friendly, Google Analytics, Vimeo, Bootstrap Framework, Google AdSense, JW Player, Apache, Google Font API, reCAPTCHA, YouTube, StatCounter, Remote, , Basis",2400000.0,"Marine BizTV, the 24hr free to air global maritime channel was presented to the world on May 7, 2007, a venture to redefine the maritime world. Marine BizTV is initiated by Aries Marine, the largest ship design and consultancy firm in the Middle East. The channel is based in Dubai and serves as a unique platform for international maritime activities. Being sector specific for the marine and maritime world, the channel aims at being a single point of contact for all maritime activities and information worldwide, transmitting and helping in creating a safer maritime world. Marine BizTV cater the best medium to infotainment thereby tracking paths for business development and promotion that bestow a new vision into the entire maritime trade. It is the first among the telecast media to get an ISO 9001 certification. Web TV, the online arm of Marine BizTV has already proved its significance with the vision of bringing the whole maritime world to the desktop. The Web TV at www.marinebiztv.com provides full - fledged support to the satellite channel and ensures that the ideas and visions of the channel reach the whole world, in just a click away.",2006.0,Small,18.0,54545.454545454544
PeopleFirst HR Consultancy,18,human resources,Dubai,"developing an hr strategy, policies, change management, organisation design, restructuring, assessment centres, organisation capability, nationalisation solutions, job evaluation, grading, compensation, benefit programmes, training, development solutions",'+971 4 447 5210,"Outlook, ASP.NET, Google Font API, Google Maps, Mobile Friendly, Google Tag Manager, Google Analytics, Microsoft-IIS, WordPress.org, MailChimp, AI",1400000.0,"PeopleFirst is a Human Resources consulting practice that works in partnership with its clients to develop and implement strategic and tactical HR solutions across all aspects of Human Resources Management and Human Resources Development

www.peoplefirstme.com",2008.0,Small,16.0,77777.77777777778
Chicago Training and Consultancy,47,government administration,Abu Dhabi,"certification course, project management professional, certified facility manager, nebosh, online courses, training center, professional courses, consultancy services, student consulting, approved learning partners, accredited training center, iso 9001, iso 14001, iso 45001, iso, health & safety, environment safety, fire protection specialist course, six sigma green belt, occupational health & safety",,"Apache, AI, Sigma, Remote",777000.0,"Chicago Training and Consultancy is an independent company established to provide high quality training and consultancy services to individuals and organizations of all sizes within the private and public sector. 

Chicago Training and Consultancy is a:

* PMI®  Global Registered Education Provider
* AACEI® Approved Education Provider
* IMA® Authorized CMA Learning System Course Provider
* NCMA® Education Partner
* Authorized Training & Testing Center of BASEL Certification Institute

AFFILIATIONS

* Collaborative training provider of Continuing Education Department of University of Wisconsin-Platteville, USA

* Approved Education Provider of Franklin University, Ohio, USA

* Host Training Site for the University of Cincinnati NIOSH Education and Research Center


We offer the following Exam Preparation programs in Abu Dhabi, Dubai, Sharjah, and Doha:

* Project Management Professional (PMP®)

* Certified Cost Engineer/Consultant (CCE®/CCC®)

* Certified Management Accountant (CMA®)

* Certified Commercial Contracts Manager (CCCM®)

* Certified Professional Contracts Manager (CPCM®)

* Certified Manager of Quality/Organizational Excellence (CMQ/OE®)

* Certified Six Sigma Green Belt (CSSGB®)

* Global Professional in Human Resources (GPHR®)

* Senior Professional in Human Resources (SPHR®)

* Planning and Scheduling Professional (PSP®)

* Certified Facility Manager (CFM®)

* Leadership in Energy and Environmental Design (LEED®)

* PMI Risk Management Professional (PMI-RMP®)",2007.0,Small,17.0,16531.91489361702
Multiline Design & Contracting L.L.C,44,construction,Dubai,"interior design consultancy, interior fitout contracting, project management, exhibition stand design, construction, graphic design, digital print media, interior designing, retail fit outs, f, b fitouts, joinery work, building maintenance, building contracting, mep, kiosk, office fitout, residential design",'+971 4 340 4287,"Google Maps (Non Paid Users), WordPress.org, Google Font API, Google Maps, Mobile Friendly, Google Tag Manager, Render, Circle, Remote",3545000.0,"Multiline is an Interior Design & Fit-Out company located in Dubai, United Arab Emirates.  Established in year 2000, the company is one of the well-reputed Interior Design companies with decades of experience in both local and international markets.

We specialize in design and construction of interior spaces such as corporate offices, commercial spaces, retail stores, hotels and residential properties.  The company also customizes kiosks & exhibition stands for promotional events.  In addition, Multiline also offers consultancy and project management services to clients with specific preferences.

Multiline's vision is to be on the leading edge of Interior Design and Creative industry in Dubai and in the UAE.  We continuously strive to improve our skills in order to be ahead of the game by harnessing our decades of experience & expertise.  

For quality that stands out, Multiline.",2000.0,Small,24.0,80568.18181818182
Vins Technical Solutions,17,construction,Dubai,"draughtsman & eng design, subcontract, support mep, support civil, labor & staff accommodation solution, recruitment, expertise & manpower hire, vehicle tracking system, procurement of supplies, it solutions, services",'+971 4 220 8834,"Outlook, Microsoft Office 365, Google Analytics, Mobile Friendly, Bootstrap Framework, Android, Basis, Remote",1688000.0,""" To be the preferred partner by delivering complete support services""


Established in 2008 to combine all our activities (and different companies) in to one banner, Vins Technical Solutions is a multi-discipline company serving a wide range of industries. 

Thereafter, Vins Technical Solutions has expanded and delivered on the previously earned nationwide reputation for innovation and reliability.",2008.0,Small,16.0,99294.11764705883
